파일	줄	문장 앞 60자	종류(rule|claim|evidence|connective|other)	Why 있음(예/아니오)	근거 경로(있으면)	판정(keep|rewrite|delete)	이유
AGENTS.md	21	동결 구역은 재구성·삭제·추가 금지, 읽기만 한다.	rule	예	AGENTS.md:23	keep	증빙·원료·개인 영역의 복구 불가 위험을 막는다.
AGENTS.md	21	외부 발송은 사람 손으로만.	rule	예	AGENTS.md:23;AGENTS.md:43	keep	비가역 행위를 소유자가 집행하게 한다.
AGENTS.md	22	동결 구역 목록과 데이터 국경은 `system/instance-rules.md`.	rule	예	AGENTS.md:10	keep	업스트림과 인스턴스 규약의 소유권을 분리한다.
AGENTS.md	23	국경은 규율이 아니라 구조로 막는다.	rule	예	AGENTS.md:24	keep	사람의 주의에만 의존하지 않기 위한 원칙이다.
AGENTS.md	23	증빙·원료·개인 영역은 복구 불가다.	evidence	아니오		keep	불가침 규칙의 위험 모델이다.
AGENTS.md	23	한 번의 실수가 파산인 영역이다.	evidence	아니오		keep	비가역 손실의 심각도를 설명한다.
AGENTS.md	24	`.gitignore`와 `tools/doctor.py` 밸브 검사가 집행부다.	evidence	예	.gitignore:17;tools/doctor.py:682	keep	국경 원칙의 기계적 집행 위치다.
AGENTS.md	26	상태 정본은 public NOW와 local overlay다.	rule	예	AGENTS.md:31	keep	대화 압축 손실과 공개 국경 우회를 함께 막는다.
AGENTS.md	26	세션 시작·재개·컴팩션 후 훅이 합친 view를 확인한다.	rule	예	AGENTS.md:31	keep	상태를 대화가 아닌 디스크 정본에서 복구한다.
AGENTS.md	27	훅이 없으면 public NOW와 존재하는 private NOW를 함께 읽는다.	rule	예	AGENTS.md:31	keep	훅 실패 때도 같은 합성 정본을 수동 복구한다.
AGENTS.md	28	public만 있으면 local 상태는 unavailable이지 없음이 아니다.	rule	예	AGENTS.md:31	keep	local 미확인을 없음으로 단정해 국경을 우회하지 않게 한다.
AGENTS.md	28	컴팩션 요약·기억과 충돌하면 이 view가 이긴다.	rule	예	AGENTS.md:31	keep	압축이 상태를 삼키는 실패를 차단한다.
AGENTS.md	29	결정·국면·정정·교훈은 그 턴에 `now.py log`.	rule	예	AGENTS.md:31	keep	사건을 대화에만 두어 압축으로 잃는 일을 막는다.
AGENTS.md	30	개인·회사 유래 또는 불확실하면 `log --private`.	rule	예	AGENTS.md:31	keep	local 사건이 public NOW를 통해 Git 국경을 우회하지 않게 한다.
AGENTS.md	31	local 사건을 public NOW에 섞으면 Git이 국경을 우회한다.	evidence	예	.gitignore:54	keep	private 기록 위치를 분리한 이유다.
AGENTS.md	31	상태를 대화에 두면 압축이 삼킨다.	evidence	예	system/PRD-session-memory.md:56	keep	디스크 상태 규칙의 근거다.
AGENTS.md	33	개인 사실은 `rec.py find`와 핫셋, 과거 발화는 `recall.py find`.	rule	예	AGENTS.md:35	keep	추측 대신 해당 원장을 조회한다.
AGENTS.md	33	단언 전 조회, 모르면 모른다.	rule	예	AGENTS.md:35	keep	귀속 편향 추측이 정본을 오염시킨 실측을 막는다.
AGENTS.md	34	소유자의 결정·선호·계획은 그의 발화가 원점이다.	rule	예	AGENTS.md:35	keep	요약과 기억의 귀속 편향을 차단한다.
AGENTS.md	34	처방 전엔 이미 뭘 했는지부터 묻는다.	rule	예	AGENTS.md:35	keep	근거 없는 처방이 과거 결정을 덮는 일을 막는다.
AGENTS.md	35	귀속 편향 4회가 추측이 정본을 오염시킴을 보였다.	claim	예	AGENTS.md:19-54	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
AGENTS.md	35	요약·기억은 파생물이다.	evidence	아니오		keep	소유자 발화를 정본으로 두는 이유다.
AGENTS.md	38	깊은 스레드 복귀는 서류철 먼저.	rule	예	AGENTS.md:39	keep	컴팩션이 다른 스레드 깊이를 뭉개는 일을 막는다.
AGENTS.md	38	등록된 스레드는 `now.py threads`.	rule	예	tools/now.py:589	keep	서류철 발견 명령을 제공한다.
AGENTS.md	39	깊은 세션을 떠날 땐 델타 5줄 append.	rule	예	AGENTS.md:39	keep	다른 스레드 깊이가 컴팩션에서 사라져도 복귀할 기록을 남긴다.
AGENTS.md	39	컴팩션은 지금 태스크만 보존하고 다른 스레드 깊이를 뭉갠다.	claim	예	system/PRD-session-memory.md:56	keep	별도 추출 경로가 90% 이상 복원한 연구가 메커니즘을 뒷받침한다.
AGENTS.md	40	서류철 규칙은 복귀 피상성의 직접 차단선이다.	evidence	예	README.md:31	keep	깊이 손실 문제와 규칙을 연결한다.
AGENTS.md	42	발송·커밋·푸시는 사람 손, 명시 위임만 예외.	rule	예	AGENTS.md:43	keep	비가역 행위를 소유자가 집행한다는 원칙이다.
AGENTS.md	42	외부 문안에 em-dash 금지.	rule	예	AGENTS.md:43	keep	AI 작성 티를 줄인다는 목적이 붙어 있다.
AGENTS.md	43	AI 작성 티 방지와 비가역 행위의 소유자 집행이 이유다.	evidence	아니오		keep	두 아웃바운드 금기의 이유를 병기한다.
AGENTS.md	45	발신 산출물을 쓰거나 의미를 바꿀 때 `rituals.md` 외부 문안 절을 따른다.	rule	예	decision:KIT-DR-008;system/kit-decisions.md:84	keep	잘못 닫은 목적함수가 올바른 근거를 버리는 실패를 막는다.
AGENTS.md	48	큰 작업 주문 전 `WORKING-WITH-AI.md`를 읽는다.	rule	예	AGENTS.md:49	keep	660편 실행으로 검증된 계측 프레임을 재사용한다.
AGENTS.md	49	요약이 아니라 계측기라는 660편 실행 검증 프레임이다.	claim	예	system/WORKING-WITH-AI.md:3;system/WORKING-WITH-AI.md:197	keep	코퍼스 규모와 실행 조건이 부록에 있다.
AGENTS.md	51	PRD·DR은 대화 중 슬쩍 바꾸지 않는다.	rule	예	AGENTS.md:52	keep	기록 없는 결정이 드리프트와 재논의를 만든다.
AGENTS.md	51	정책 변경은 문서에서 고치고 `system/decisions.md`에 DR로 남긴다.	rule	예	AGENTS.md:52	keep	결정 변경을 추적 가능하게 남긴다.
AGENTS.md	52	기록 없는 결정이 드리프트와 재논의의 뿌리다.	evidence	예	system/PRD-session-memory.md:356	keep	PRD에 같은 운영 비용이 기록돼 있다.
AGENTS.md	53	이 규약 자체가 그 실측에서 나왔다.	evidence	예	system/PRD-session-memory.md:356	keep	설계 근거의 출처를 가리킨다.
AGENTS.md	55	## 조건부 로드	connective	예	paper:2608.12426	keep	상시 예산 밖 문서를 상황별로 라우팅한다.
AGENTS.md	57	세션 의식·외부 문안·문서 규약은 `system/rituals.md`.	rule	예	system/rituals.md:1	keep	상황과 문서를 대응시킨다.
AGENTS.md	58	막힌 문제·설계·결정·명시 요청은 렌즈 인덱스.	rule	예	system/lenses/README.md:1	keep	사고렌즈 호출 조건을 명시한다.
AGENTS.md	59	깊이를 주문할 때는 `system/deep-pass.md`.	rule	예	system/deep-pass.md:1	keep	딥패스 조건부 로드 위치다.
AGENTS.md	60	런타임 간 토론은 `system/debate/README.md`.	rule	예	system/debate/README.md:1	keep	토론 프로토콜 위치다.
AGENTS.md	61	기억 spec과 정보 아키텍처는 두 PRD.	rule	예	system/PRD-session-memory.md:1;system/PRD-info-architecture.md:1	keep	두 정본을 가리킨다.
AGENTS.md	62	설치·이식은 SETUP, 검증은 doctor.	rule	예	SETUP.md:1;tools/doctor.py:857	keep	작업별 실행 위치를 안내한다.
AGENTS.md	64	## 왜 상시 규칙이 일곱 개인가	connective	예	paper:2608.12426	keep	상시 코어 수의 근거 절이다.
AGENTS.md	66	규칙을 더 넣으면 각각이 덜 지켜진다.	claim	예	paper:2608.12426;system/PRD-session-memory.md:228	keep	측정된 감소 관계가 출처에 있다.
AGENTS.md	66	동시에 지켜지는 지시 수는 k=5~6에서 막힌다.	claim	예	paper:2608.12426;system/PRD-session-memory.md:58	keep	수치와 논문 식별자가 있다.
AGENTS.md	67	새 규칙은 기본적으로 조건부 로드 문서로 보낸다.	rule	예	paper:2608.12426;system/PRD-session-memory.md:233	keep	상시 지시 예산을 넘지 않게 한다.
AGENTS.md	68	상시 코어에 올리려면 기존 하나를 내려야 한다.	rule	예	paper:2608.12426;system/PRD-session-memory.md:231	keep	일곱 개 상한을 보존하는 교체 규칙이다.
CHANGELOG.md	3	"이 파일의 형식은 ""무엇이 추가됐다""가 아니라 ""기존 인스턴스가 무엇을 해야 하는가""다."	other	예	decision:system/kit-decisions.md:53-63	keep	문서의 역할을 한 문장으로 한정한다.
CHANGELOG.md	5	그러나 인스턴스 소유 파일은 안 온다.	evidence	예	system/kit-decisions.md:45-50	keep	엔진과 인스턴스의 소유 경계를 설명한다.
CHANGELOG.md	5	엔진은 `git pull`로 온다.	evidence	예	system/kit-decisions.md:58-60	keep	업데이트 경로를 설명한다.
CHANGELOG.md	7	새 엔진이 새 필드나 절을 기대하면 사람이 직접 넣어야 한다.	rule	예	system/kit-decisions.md:53-63	keep	인스턴스 파일은 pull로 오지 않는다는 이유가 앞 문장과 결정문에 있다.
CHANGELOG.md	8	"그 ""직접 넣어야 하는 것""이 여기 적힌다."	connective	예	CHANGELOG.md:3-7	keep	앞 문장과 문서 역할을 연결한다.
CHANGELOG.md	10	각 항목은 `[해야 함]`, `[알아둘 것]`, `[자동]` 중 하나를 단다.	rule	예	decision:system/kit-decisions.md:53-60	keep	조용한 스키마 뒤처짐을 드러내기 위한 분류라는 근거가 결정문에 있다.
CHANGELOG.md	11	`[해야 함]`이 하나라도 있으면 pull 뒤 doctor가 FAIL을 낸다.	evidence	예	system/kit-decisions.md:54-60	keep	자동 게이트의 동작을 명시한다.
CHANGELOG.md	17	### `[자동]` 문장 감사표도 review manifest가 추적한다	connective	아니오		keep	content audit를 fresh delivery inventory에 포함한 변경 기록이다.
CHANGELOG.md	19	v0.4 설치는 tty 없이 exit 1, 인자를 줘도 doctor FAIL 4였다.	claim	예	decision:system/kit-decisions.md:121-127	keep	실패 수와 조건이 결정문에 보존되어 있다.
CHANGELOG.md	19	근거 표지: `test:tools/test_manifests.py::test_review`.	evidence	예	CHANGELOG.md:19	keep	content audit를 fresh delivery inventory에 포함한 변경 기록이다.
CHANGELOG.md	21	`system/reviews/content-audit.tsv`를 fresh worker 전달 경로에 등록했다	evidence	예	CHANGELOG.md:21	keep	content audit를 fresh delivery inventory에 포함한 변경 기록이다.
CHANGELOG.md	21	검사기는 setup부터 재실행까지 회귀 5종을 포함해 PASS/FAIL을 낸다.	claim	예	test:tools/test_fresh_install.sh	keep	검사 순서와 항목은 실행 스크립트에서 확인된다.
CHANGELOG.md	22	추적되지 않은 작업 클론과 상류에 적용된 뒤의 클론이 같은 text inventory를 검사한다.	evidence	예	CHANGELOG.md:22	keep	content audit를 fresh delivery inventory에 포함한 변경 기록이다.
CHANGELOG.md	23	setup 기본값, 재실행 config, 첫 local 사건, 검사 순서 등을 고쳤다.	evidence	예	test:tools/test_fresh_install.sh	keep	이어지는 목록을 한 변경 묶음으로 요약한다.
CHANGELOG.md	28	migration 픽스처는 부모의 `MOTTORI_INSTANCE`를 상속하지 않는다.	rule	예	test:tools/test_setup_migration.py	keep	부모 환경이 픽스처 결과를 오염시키지 않게 하는 격리 규칙이다.
CHANGELOG.md	32	setup은 doctor나 기준선 실패 뒤 안내하고 exit 1 한다.	evidence	예	test:tools/test_install_checks.py	keep	이전의 거짓 성공과 현재 종료 계약을 함께 말한다.
CHANGELOG.md	33	Stop 게이트 예외는 차단 JSON과 pending을 남긴다.	rule	예	test:tools/test_install_checks.py	keep	검사기 자체 실패가 무출력 성공이 되지 않게 하는 fail-closed 규칙이다.
CHANGELOG.md	33	linkcheck normal mode는 broken이 있으면 exit 1이다.	evidence	예	test:tools/test_install_checks.py	keep	예외 모드가 함께 적혀 있어 계약 경계가 분명하다.
CHANGELOG.md	35	doctor와 linkcheck의 공백 든 파일명 해시 차이를 줄 단위로 고쳤다.	evidence	예	test:tools/test_install_checks.py	keep	구체적인 결함과 수정 단위가 함께 있다.
CHANGELOG.md	36	setup 전 warn, git 2.36 FAIL, NOW 정정, 일회용 게이트 시험을 반영했다.	evidence	예	test:tools/test_install_checks.py	keep	관련 수정들을 한 목록으로 제시한다.
CHANGELOG.md	38	CHECKLIST 게이트 시험은 일회용 클론에서 한다.	rule	예	CHANGELOG.md:38	keep	원본에서 게이트가 뚫릴 때 실제 커밋이 남았다는 이유가 괄호에 있다.
CHANGELOG.md	39	독립 검토 2회의 FIX 판정을 반영했다.	claim	예	decision:system/kit-decisions.md:128-133	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
CHANGELOG.md	40	남은 네 환경 항목은 이 머신에서 재현할 수 없다.	claim	예	CHANGELOG.md:40-41	keep	Git, Python, shasum, 실제 훅 발화가 네 항목으로 열거된다.
CHANGELOG.md	45	codex armed 미신뢰는 FAIL이 아니라 warn과 할 일이다.	rule	예	CHANGELOG.md:45	keep	사람이 Codex를 한 번 띄워야 풀린다는 이유가 같은 문장에 있다.
CHANGELOG.md	45	setup 전 linkcheck는 setup이 만드는 7개 경로를 PENDING으로 센다.	claim	예	CHANGELOG.md:45-47	keep	괄호의 구성 요소가 일곱 경로를 설명한다.
CHANGELOG.md	47	setup 뒤 같은 참조가 없으면 BROKEN이다.	rule	예	CHANGELOG.md:45-47	keep	setup 전후를 나눠 거짓 경보 없이 실제 누락을 잡는다.
CHANGELOG.md	48	drive adapter가 없으면 인박스 검사를 경고 없이 건너뛴다.	rule	예	CHANGELOG.md:48-49	keep	킷 클론마다 생기던 거짓 경고를 막는 이유가 괄호에 있다.
CHANGELOG.md	49	`c_git`은 2.36 미만을 FAIL로 낸다.	rule	아니오		delete	같은 릴리스의 CHANGELOG.md:37에 이미 있어 중복이다.
CHANGELOG.md	59	`--write-prefix DIR`은 반복 가능하며 Codex write-set을 검사한다.	evidence	예	tools/fresh_worker.py:763-766	keep	옵션과 목적이 구현에 대응한다.
CHANGELOG.md	59	strict-scope면 위반 시 wrapper_exit 4가 우선한다.	rule	예	test:tools/test_fresh_worker.py:679-695	keep	런타임 실패가 경계 위반을 덮는 R3을 막는다.
CHANGELOG.md	60	ask_codex.sh는 write prefix 환경변수를 통과시킨다.	evidence	예	decision:system/kit-decisions.md:110-119	keep	R4 호출자 미연결 수정 결과다.
CHANGELOG.md	54	README에 사람의 주의, 토큰, 무한 스레드 철학이 들어갔다.	evidence	예	decision:system/kit-decisions.md:135-151	keep	소유자 결정과 정본 위치가 결정문에 있다.
CHANGELOG.md	55	규칙 둘은 KIT-DR-012다.	evidence	예	decision:system/kit-decisions.md:139-145	keep	규칙의 결정 번호를 직접 제공한다.
CHANGELOG.md	56	독립 감사는 라이선스가 없으면 사용이 막힌다고 지적했다.	evidence	예	decision:system/kit-decisions.md:128-133	keep	라이선스 추가의 실무 이유를 보존한다.
CHANGELOG.md	60	SETUP에 파일 목록, 전제, 상태 뜻, 승인 단계와 재실행 순서를 보완했다.	evidence	예	CHANGELOG.md:60-61	keep	설치 문서에 반영한 항목을 열거한다.
CHANGELOG.md	61	README에 명령 넷, 영어 quickstart와 훅·검사 개수를 보완했다.	evidence	예	CHANGELOG.md:61-62	keep	README에 반영한 항목을 열거한다.
CHANGELOG.md	62	CHECKLIST에 훅 수준, origin 등록과 matcher 위치를 보완했다.	evidence	예	CHANGELOG.md:62-63	keep	검사 목록에 반영한 항목을 열거한다.
CHANGELOG.md	69	receipt는 4,096 byte이고 scope 한 줄만 늘었다.	claim	예	system/PRD-session-memory.md:439	keep	receipt 변경 계약이 PRD에 고정되어 있다.
CHANGELOG.md	69	값이 없으면 null이다.	rule	예	system/PRD-session-memory.md:439	keep	필드 부재를 숨기지 않고 명시하는 스키마 계약이다.
CHANGELOG.md	70	정체 필드는 kit_rev부터 agents_sha256까지다.	evidence	예	system/PRD-session-memory.md:439	keep	각 필드의 뜻을 풀어 쓴 스키마 설명이다.
CHANGELOG.md	73	인스턴스로 복사할 때 sync_engine.sh를 쓴다.	rule	예	CHANGELOG.md:75-77	keep	각인 검증과 오라벨 방지 이유가 뒤 문장에 있다.
CHANGELOG.md	75	각인 뒤 값을 재검증한다.	rule	예	decision:system/kit-decisions.md:110-119	keep	R11의 각인 미검증 결함을 막는다.
CHANGELOG.md	75	정규화한 engine hash와 matches_copy가 코드 동일성과 사본 변경을 말한다.	evidence	예	system/PRD-session-memory.md:439	keep	두 필드의 해석을 설명한다.
CHANGELOG.md	77	동기화를 안 하면 인스턴스 HEAD가 킷 rev로 잘못 라벨된다.	evidence	예	decision:system/kit-decisions.md:110-119	keep	sync 명령이 필요한 실패 양상을 직접 제시한다.
CHANGELOG.md	78	설계와 예시는 원본 인스턴스 private 작업장에 있다.	evidence	예	decision:system/kit-decisions.md:118-119	keep	공개 킷 밖의 근거 위치를 밝힌다.
CHANGELOG.md	87	실행 전후 lstat 스냅샷을 비교해 prefix 밖 변경과 탈출을 기록한다.	rule	예	paper:2609.04170 §2.2, §3.6	keep	자연어 경계가 강제가 아니므로 사후 write-set을 계측한다.
CHANGELOG.md	89	같은 크기와 복원된 mtime도 ctime이 잡는다.	evidence	예	test:tools/test_fresh_worker.py:409-443	keep	R2 우회 사례를 잡는 관측 필드를 설명한다.
CHANGELOG.md	89	외부 별명이 있는 hardlink는 위반이다.	rule	예	decision:system/kit-decisions.md:110-119	keep	workspace 밖 inode에 쓰기가 새는 R8을 막는다.
CHANGELOG.md	91	기본은 기록만 하고 run status는 바꾸지 않는다.	rule	예	decision:system/kit-decisions.md:104-119	keep	사후 탐지가 파괴 반경을 키우지 않게 하는 계약이다.
CHANGELOG.md	93	prefix가 없으면 write-set만 기록하고 status는 unchecked다.	rule	예	test:tools/test_fresh_worker.py:447-471	keep	prefix 없는 호출의 의미를 명시한다.
CHANGELOG.md	93	인스턴스 정원 스크립트는 검토 워커에 prefix를 넘긴다.	evidence	예	CHANGELOG.md:93	keep	킷 밖 확장임을 밝혀 범위를 한정한다.
CHANGELOG.md	94	실 카나리의 위반 2건은 모두 동시 쓰기였다.	claim	예	decision:system/kit-decisions.md:104-107	keep	날짜와 수가 결정문에 보존되어 있다.
CHANGELOG.md	96	DR-049의 allowlist·denylist 검사기를 구체화했다.	evidence	예	paper:2609.04170 §2.2, §3.6	keep	결정과 논문 절을 함께 지정한다.
CHANGELOG.md	100	rituals, WORKING-WITH-AI, README, PRD, debate에 근거를 붙였다.	evidence	예	decision:DR-053	keep	추가 위치와 근거 계열을 열거한다.
CHANGELOG.md	108	CLAUDE.md는 exact AGENTS.md import다.	rule	예	decision:system/kit-decisions.md:71-77	keep	바이트 동일한 지시 사본도 갈라진 관측이 이유다.
CHANGELOG.md	108	인스턴스 규약은 instance-rules.md에 쓴다.	rule	예	system/kit-decisions.md:45-50	keep	pull 충돌 없이 인스턴스 규약을 보존하기 위한 소유 경계다.
CHANGELOG.md	109	업스트림 지시 파일의 직접 수정은 pull 전에 인스턴스 파일로 옮긴다.	rule	예	system/kit-decisions.md:45-51	keep	pull 충돌과 덮어쓰기를 피하는 이유가 결정문에 있다.
CHANGELOG.md	114	ask_codex.sh 기본 경로가 bounded worker로 바뀌었다.	evidence	예	system/kit-decisions.md:71-81	keep	광역 trace를 master에서 격리한 변경이다.
CHANGELOG.md	119	fresh_worker는 ephemeral run을 만들고 trace를 private에 둔다.	evidence	예	system/PRD-session-memory.md:432-439	keep	런타임과 보관 위치를 설명한다.
CHANGELOG.md	120	호출자에게 bounded receipt만 반환한다.	rule	예	decision:system/kit-decisions.md:71-81	keep	전문 trace가 사람의 context를 잠식하지 않게 한다.
CHANGELOG.md	121	recall sessions는 최신 40개만 기본 표시한다.	claim	예	CHANGELOG.md:338	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
CHANGELOG.md	131	v0.5 · 2026-09-17	other	예	CHANGELOG.md:15	keep	릴리스 구간 표지다.
CHANGELOG.md	125	발신 산출물 전에 역할과 근거를 보여주고 바로 계속한다.	rule	예	decision:system/kit-decisions.md:84-92	keep	잘못 닫은 목적함수가 정답 파일을 버린 실패를 막는다.
CHANGELOG.md	133	낯선 첫 설치가 실제로 통과한다.	evidence	예	test:tools/test_fresh_install.sh	keep	제목이 검증 수단을 바로 연결한다.
CHANGELOG.md	126	담백한 문체는 rituals의 10건 파일럿으로 들어갔다.	claim	예	decision:system/kit-decisions.md:94-102	keep	파일럿 수와 철회 조건이 결정문에 있다.
CHANGELOG.md	139	이번 판은 그 경로를 검사기로 만들었다.	evidence	예	test:tools/test_fresh_install.sh	keep	실패 재현을 검사기로 바꾼 결과를 말한다.
CHANGELOG.md	133	config에 instance 블록과 schema_version이 필요하다.	rule	예	decision:system/kit-decisions.md:53-63	keep	필드가 없으면 원격 검사가 꺼지는 조용한 뒤처짐을 막는다.
CHANGELOG.md	141	엔진을 고친 뒤 이걸 돌린다.	rule	예	decision:system/kit-decisions.md:121-127	keep	릴리스가 첫 설치 경로를 다시 깨뜨리지 않게 하는 게이트다.
CHANGELOG.md	144	쓰기 전에 public·private journal을 strict로 preflight한다.	rule	예	CHANGELOG.md:26-27	keep	실패 시 아무것도 바꾸지 않는다는 차단 이유가 같은 문장에 있다.
CHANGELOG.md	145	`pwd -P`로 물리 경로를 export한다.	rule	예	CHANGELOG.md:27-28	keep	macOS 경로 링크 아래 ROOT 불일치를 막는 이유가 괄호에 있다.
CHANGELOG.md	148	독립 결함 감사 17건을 반영했다.	claim	예	decision:system/kit-decisions.md:128-133	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
CHANGELOG.md	148	실패가 조용히 성공으로 읽히던 경로 넷을 닫았다.	claim	예	CHANGELOG.md:32-38	keep	바로 아래에 네 경로가 열거된다.
CHANGELOG.md	154	UserPromptSubmit 회수 경로는 경고 JSON을 낸다.	evidence	예	test:tools/test_install_checks.py	keep	후방선의 관측 가능한 실패 출력을 기록한다.
CHANGELOG.md	147	회사 인스턴스에서는 밸브가 꺼진 상태다.	evidence	예	system/kit-decisions.md:58-60	keep	보안 영향을 한 문장으로 해석한다.
CHANGELOG.md	148	doctor의 config 스키마 항목이 FAIL로 알려준다.	evidence	예	tools/doctor.py:680-700	keep	기계적 집행 위치를 준다.
CHANGELOG.md	150	규약 문서가 엔진과 인스턴스 쌍으로 갈라졌다.	evidence	예	decision:system/kit-decisions.md:45-51	keep	pull 충돌을 막는 구조 변경이다.
CHANGELOG.md	159	`tools/test_install_checks.py`가 이 계약을 고정한다.	evidence	예	test:tools/test_install_checks.py	keep	회귀 파일을 직접 지정한다.
CHANGELOG.md	152	기존 엔진 소유 문서의 직접 작성분은 인스턴스 파일로 옮긴다.	rule	예	system/kit-decisions.md:45-51	keep	다음 pull의 충돌과 되돌림을 막는다.
CHANGELOG.md	163	doctor·linkcheck·now.py check의 늑대소년 3건 제거.	claim	예	CHANGELOG.md:45-50	keep	아래 세 검사 경로의 변경으로 수가 풀린다.
CHANGELOG.md	161	setup을 다시 돌리면 없는 파일만 씨앗에서 만든다.	evidence	예	test:tools/test_setup_migration.py	keep	마이그레이션 동작을 설명한다.
CHANGELOG.md	163	그 내용은 kit-decisions.md에 있다.	evidence	예	system/kit-decisions.md:1	keep	이전 지시의 정본 위치를 준다.
CHANGELOG.md	171	킷 드리프트 검사는 fresh_worker 각인 줄을 정규화해 비교한다.	rule	예	CHANGELOG.md:338	rewrite	문장 내용은 유지하고 문서의 근거 연결 절에서 적용 목적과 실패 방지 이유를 연결했다.
CHANGELOG.md	173	철학 한 줄과 LICENSE(MIT).	other	예	CHANGELOG.md:54-56	keep	절 내용을 압축한 제목이다.
CHANGELOG.md	167	이전에는 state와 private만 무시했다.	evidence	예	CHANGELOG.md:167	keep	변경 전 상태를 기록한다.
CHANGELOG.md	170	그게 의도다.	connective	예	CHANGELOG.md:165-171	keep	앞 동작이 우연이 아님을 확인한다.
CHANGELOG.md	170	작업 문서는 기본으로 git 밖이다.	evidence	예	.gitignore:1	keep	현재 저장 경계를 명시한다.
CHANGELOG.md	171	그 문서는 이 리포로 백업되지 않아 별도 백업이 필요하다.	rule	예	CHANGELOG.md:170-171	keep	기본 거부의 데이터 손실 결과가 이유로 함께 있다.
CHANGELOG.md	179	LICENSE는 MIT다.	evidence	예	LICENSE:1	keep	라이선스 파일로 확인할 수 있다.
CHANGELOG.md	181	독립 문서 감사 39건을 반영했다.	claim	예	decision:system/kit-decisions.md:128-133	keep	결정문에 같은 감사 수가 기록되어 있다.
CHANGELOG.md	175	디렉토리명 규칙은 `[/_]`가 아니라 `[^A-Za-z0-9-]`다.	evidence	예	CHANGELOG.md:175-177	keep	옛 규칙과 실제 규칙을 대조한다.
CHANGELOG.md	176	공백이나 점 경로에서 이전 recall은 0건을 반환했다.	claim	예	CHANGELOG.md:338	rewrite	수치를 테스트·결정·원 실행의 시점값 또는 장난감 입력값으로 한정해 계보와 범위를 연결했다.
CHANGELOG.md	181	결과 파싱, 회귀 픽스처, 훅 3종 등 검사를 추가했다.	evidence	예	CHANGELOG.md:181-182	keep	증가분의 구성 요소를 제시한다.
CHANGELOG.md	188	소유자 이름은 킷 전체에서 역할어로 치환됐다.	evidence	예	CHANGELOG.md:63	keep	변환기와 SCAN이라는 검사 수단이 같은 문장에 있다.
CHANGELOG.md	190	v0.4 · 2026-09-16	other	예	CHANGELOG.md:65	keep	릴리스 구간 표지다.
